station_id	datetime_utc	sa	ra
1180000024	2013-01-23 14:00:00	35	0
1320000024	2013-01-23 14:00:00	42	-888
1170000005	2013-01-23 14:00:00	46	0
1140000009	2013-01-23 14:00:00	47	-888
1080000012	2013-01-23 14:10:00	108	-888
1020000004	2013-01-23 14:10:00	18	0
1260000006	2013-01-23 14:10:00	37	0
1010000001	2013-01-23 14:10:00	19	0
1420000001	2013-01-23 14:10:00	24	0
1020000023	2013-01-23 14:10:00	15	-888
1080000010	2013-01-23 14:10:00	95	-888
1180000009	2013-01-23 14:10:00	42	0
1170000003	2013-01-23 14:10:00	47	0
1070000007	2013-01-23 14:10:00	3725	0
1080000013	2013-01-23 14:10:00	74	-888
1270000010	2013-01-23 14:10:00	42	-888
1040000005	2013-01-23 14:10:00	24	0
1070000006	2013-01-23 14:10:00	4961	-888
1070000011	2013-01-23 14:10:00	-999	-888
1180000023	2013-01-23 14:10:00	31	0
1010000003	2013-01-23 14:10:00	20	0
1080000023	2013-01-23 14:10:00	67	0
1080000030	2013-01-23 14:10:00	56	-888
1080000024	2013-01-23 14:10:00	59	-888
1010000006	2013-01-23 14:10:00	20	0
1080000026	2013-01-23 14:10:00	49	0
1180000024	2013-01-23 14:10:00	35	0
1220000009	2013-01-23 14:10:00	-888	0
1220000003	2013-01-23 14:10:00	45	0
1080000035	2013-01-23 14:10:00	78	0
1080000022	2013-01-23 14:10:00	67	-888
1270000006	2013-01-23 14:10:00	35	-888
1080000020	2013-01-23 14:10:00	71	-888
1070000022	2013-01-23 14:10:00	1280	-888
1260000002	2013-01-23 14:10:00	35	0
1380000032	2013-01-23 14:10:00	23	-888
1270000011	2013-01-23 14:10:00	50	-888
1180000013	2013-01-23 14:10:00	28	0
1080000011	2013-01-23 14:10:00	82	-888
1080000018	2013-01-23 14:10:00	56	-888
1020000025	2013-01-23 14:10:00	21	-888
1180000006	2013-01-23 14:10:00	77	0
1080000029	2013-01-23 14:10:00	53	-888
1080000015	2013-01-23 14:10:00	81	-888
1460000006	2013-01-23 14:10:00	44	0
1150000008	2013-01-23 14:10:00	37	0
1070000001	2013-01-23 14:10:00	877	-888
1260000003	2013-01-23 14:10:00	47	0
1020000002	2013-01-23 14:10:00	15	0
1410000009	2013-01-23 14:10:00	29	-888
1020000021	2013-01-23 14:10:00	16	-888
1460000004	2013-01-23 14:10:00	33	0
1080000003	2013-01-23 14:10:00	71	-888
1170000005	2013-01-23 14:10:00	46	0
1080000027	2013-01-23 14:10:00	56	-888
1380000031	2013-01-23 14:10:00	18	-888
1010000008	2013-01-23 14:10:00	16	0
1410000002	2013-01-23 14:10:00	30	-888
1220000008	2013-01-23 14:10:00	41	0
1260000001	2013-01-23 14:10:00	30	0
1070000023	2013-01-23 14:10:00	-999	-888
1080000006	2013-01-23 14:10:00	78	-888
1150000009	2013-01-23 14:10:00	39	0
1180000012	2013-01-23 14:10:00	42	0
1070000026	2013-01-23 14:10:00	-999	-888
1080000033	2013-01-23 14:10:00	60	-888
1260000004	2013-01-23 14:10:00	32	0
1180000007	2013-01-23 14:10:00	76	0
1140000011	2013-01-23 14:10:00	37	-888
1040000003	2013-01-23 14:10:00	-999	-999
1070000013	2013-01-23 14:10:00	300	-888
1180000002	2013-01-23 14:10:00	72	0
1270000013	2013-01-23 14:10:00	42	-888
1040000001	2013-01-23 14:10:00	15	0
1140000008	2013-01-23 14:10:00	46	-888
1080000028	2013-01-23 14:10:00	78	0
1070000017	2013-01-23 14:10:00	3409	-888
1270000012	2013-01-23 14:10:00	37	0
1310000001	2013-01-23 14:10:00	31	0
1080000031	2013-01-23 14:10:00	51	0
1080000036	2013-01-23 14:10:00	64	-888
1150000006	2013-01-23 14:10:00	38	0
1330000003	2013-01-23 14:10:00	38	0
1270000009	2013-01-23 14:10:00	35	-888
1320000005	2013-01-23 14:10:00	42	-888
1080000004	2013-01-23 14:10:00	60	-888
1070000003	2013-01-23 14:10:00	1410	-888
1080000007	2013-01-23 14:10:00	80	-888
1070000004	2013-01-23 14:10:00	-999	-888
1170000009	2013-01-23 14:10:00	40	0
1080000038	2013-01-23 14:10:00	71	0
1320000008	2013-01-23 14:10:00	33	-888
1380000002	2013-01-23 14:10:00	23	-888
1140000003	2013-01-23 14:10:00	36	-888
1020000026	2013-01-23 14:10:00	18	0
1070000012	2013-01-23 14:10:00	729	-888
